index,id,avg,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,re,city
4817,23310340101_183417,4,5,4,5,4.0,4,4,4,5,4,4,4,5,4,서울특별시 종로구
7921,31011551201_39410,4,3,3,4,4.0,3,4,3,3,3,3,2,2,3,서울특별시 종로구
7944,3101157099A_98396,4,5,3,3,4.0,4,3,3,4,4,3,3,3,4,서울특별시 종로구
4383,2306068143A_241761,4,4,5,4,4.0,4,3,4,4,4,4,4,4,4,서울특별시 종로구
7981,31011611501_215786,4,4,3,4,4.0,5,3,4,4,4,4,4,3,4,서울특별시 종로구
11461,3402057065A_162078,4,4,5,3,4.0,3,3,5,5,3,5,4,5,4,서울특별시 종로구
17285,25020570151_97150,5,5,3,2,5.0,3,5,5,5,4,3,4,2,4,서울특별시 종로구
17197,2405063098A_269913,5,5,4,4,4.0,5,4,4,5,4,3,4,5,4,서울특별시 종로구
13248,3603067074A_23387,4,4,3,4,4.0,4,4,3,4,5,3,3,3,4,서울특별시 종로구
4075,2305052156A_121169,5,5,5,4,5.0,4,5,5,5,5,3,4,4,4,서울특별시 종로구
16260,21040680181_3825,4,4,5,4,4.0,5,4,5,5,5,4,5,3,4,서울특별시 종로구
10660,33042570961_336208,4,4,3,3,4.0,4,3,3,4,3,3,2,3,4,서울특별시 종로구
12249,35012570211_49281,4,5,4,5,4.0,4,4,4,4,4,5,4,4,4,서울특별시 종로구
11429,34012611951_308061,5,5,5,3,5.0,4,4,4,4,4,3,4,4,5,서울특별시 종로구
8060,31012600571_71910,4,4,4,4,4.0,4,3,3,4,4,4,4,5,4,서울특별시 종로구
8052,31012571001_43486,4,5,3,5,4.0,5,3,4,5,5,3,4,5,4,서울특별시 종로구
4170,23050590201_152821,4,4,3,3,4.0,4,3,3,3,3,3,3,3,4,서울특별시 종로구
4189,2305060097A_38902,3,3,3,4,3.0,4,3,4,4,4,3,3,3,2,서울특별시 종로구
4207,2305062095A_121223,4,5,3,4,4.0,4,3,4,3,4,3,3,3,4,서울특별시 종로구
8028,3101255061A_243824,4,4,5,4,4.0,4,4,5,5,4,4,4,5,4,서울특별시 종로구
16514,22020610811_34993,4,5,5,5,4.0,5,4,5,5,5,5,4,4,4,서울특별시 종로구
4147,23050570841_64871,4,4,4,4,4.0,3,3,4,4,4,3,3,4,4,서울특별시 종로구
2931,2114054090A_149872,5,3,3,5,5.0,5,5,5,4,5,3,5,5,4,서울특별시 종로구
8364,3103066258A_71329,4,3,4,4,4.0,5,3,4,4,4,3,3,3,4,서울특별시 종로구
21864,34080510371_254452,5,2,2,2,5.0,3,5,4,4,4,3,3,4,5,서울특별시 종로구
15433,3901054198A_141670,4,3,4,4,4.0,4,4,4,4,4,3,3,2,4,서울특별시 종로구
15437,39010543221_84768,5,3,3,4,5.0,3,3,3,3,3,3,3,3,5,서울특별시 종로구
9484,3119351046A_160904,4,4,4,5,4.0,4,4,4,4,4,3,4,4,3,서울특별시 종로구
20685,29010320121_123922,5,5,3,4,5.0,5,5,4,4,4,3,5,4,5,서울특별시 종로구
19588,3704063040A_171625,4,4,4,3,4.0,4,4,4,5,4,3,3,3,4,서울특별시 종로구
19619,37090120501_258767,4,4,5,4,5.0,4,4,3,4,4,3,3,4,4,서울특별시 종로구
13175,3603055089A_310291,4,3,3,4,4.0,4,3,4,4,4,3,3,3,4,서울특별시 종로구
15448,39010580841_55936,4,4,3,4,3.0,4,4,3,4,3,3,3,2,4,서울특별시 종로구
6571,25040650081_186783,4,1,2,3,4.0,5,3,3,3,5,4,4,3,4,서울특별시 종로구
