,category,highest_topic,highest_ratio,topic_ratio,topic2,topic4,topic6,topic1,topic5,topic3,attractions,attr_index
29,30,6.0,0.619,"[(1, 0.11678582), (2, 0.23223448), (5, 0.029150482), (6, 0.61904705)]",0.23223447799682617,0.0,0.6190470457077026,0.11678581684827805,0.029150482267141342,0.0,Wolmido-Incheon Wolmi_Park-Incheon Wolmi_Theme_Park-Incheon Wolmido_Cruise-Incheon Chinatown-Incheon Incheon_Art_Platform-Incheon,"[63, 64, 65, 66, 515, 516]"
30,31,6.0,0.5794,"[(1, 0.03841181), (3, 0.3818855), (6, 0.5793998)]",0.0,0.0,0.579399824142456,0.038411810994148254,0.0,0.38188549876213074,Windy_Hill-Geoje_Gyeongsangnam_do Geoje_Okpo_Battle_Memorial_Park-Geoje_Gyeongsangnam_do Geoje_Museum-Geoje_Gyeongsangnam_do,"[218, 367, 368]"
31,32,6.0,0.5632,"[(1, 0.3042278), (2, 0.021317534), (5, 0.10962956), (6, 0.56323814)]",0.021317534148693085,0.0,0.5632381439208984,0.3042277991771698,0.1096295565366745,0.0,Songdo_Central_Park-Incheon Songdo_Beach-Busan Songdo_Convensia-Incheon Songdo_Skywalk-Busan Hyundai_Premium_Outlet_Songdo-Incheon,"[74, 75, 76, 77, 78]"
32,33,6.0,0.9227,"[(4, 0.06955054), (6, 0.9227044)]",0.0,0.0695505365729332,0.9227043986320496,0.0,0.0,0.0,Hwaseong_Fortress-Suwon_Gyeonggi_do Hwaseong_Haenggung_Palace-Suwon_Gyeonggi_do Paldalmun_Gate-Suwon_Gyeonggi_do Hwahongmun_Gate-Suwon_Gyeonggi_do Janganmun_Gate-Suwon_Gyeonggi_do Suwon_World_Cup_Stadium-Suwon_Gyeonggi_do,"[56, 57, 58, 59, 60, 473]"
33,34,1.0,0.8488,"[(1, 0.8488349), (2, 0.01289359), (4, 0.11918682), (5, 0.018978583)]",0.01289359014481306,0.11918681859970093,0.0,0.8488348722457886,0.018978582695126534,0.0,Seoul_World_Cup_Stadium-Seoul MBC_WORLD-Seoul,"[257, 533]"
34,35,4.0,0.4581,"[(1, 0.16857046), (2, 0.32937682), (3, 0.020221803), (4, 0.45809376), (5, 0.020455364)]",0.32937681674957275,0.4580937623977661,0.0,0.16857045888900757,0.020455364137887955,0.020221803337335587,Seomun_Market-Daegu Daegu_Metro-Daegu Daegu_Arboretum-Daegu The_Arc-Daegu Daegu_Yangnyeongsi_Museum_of_Oriental_Medicine-Daegu,"[86, 87, 148, 149, 189]"
35,36,5.0,0.9962,"[(5, 0.99616045)]",0.0,0.0,0.0,0.0,0.9961604475975037,0.0,Incheon_Airport_Transit_Tour-Incheon AREX_Airport_Railroad_Express-Incheon,"[48, 49]"
36,38,2.0,0.5502,"[(1, 0.034862027), (2, 0.5502128), (3, 0.04882475), (4, 0.21402718), (6, 0.15192401)]",0.5502128005027771,0.21402718126773834,0.1519240140914917,0.03486202657222748,0.0,0.048824749886989594,Jeonju_Hanok_Village-Jeonju_Jeollabuk_do Omokdae_and_Imokdae-Jeonju_Jeollabuk_do Jeondong_Catholic_Church-Jeonju_Jeollabuk_do Gyeonggijeon_Shrine-Jeonju_Jeollabuk_do Jeonju_World_Cup_Stadium-Jeonju_Jeollabuk_do,"[153, 154, 155, 156, 474]"
37,39,6.0,0.8411,"[(3, 0.15382752), (6, 0.84114784)]",0.0,0.0,0.8411478400230408,0.0,0.0,0.1538275182247162,Donghwasa-Daegu Palgongsan_Cable_Car-Daegu Gatbawi_Rock-Mokpo_Jeollanam_do,"[175, 177, 178]"
38,40,3.0,0.4352,"[(1, 0.22821267), (3, 0.43520293), (4, 0.2999244), (6, 0.029279273)]",0.0,0.29992440342903137,0.029279273003339767,0.22821266949176788,0.0,0.4352029263973236,Yonin_Natural_Recreation_Forest-Yongin_Gyeonggi_do Yongin_Daejanggeum_Park-Yongin_Gyeonggi_do Yongin_Cultural_Heritage_Museum-Yongin_Gyeonggi_do Korean_Folk_Village-Yongin_Gyeonggi_do,"[124, 125, 126, 127]"
